CHAR_TYPE_CD,EFFDT,ET_ZONE,VALUE,MONTH,YEAR
ETZONE,5/12/2018 0:0:0,3,0.04,5,2018
ETZONE,5/12/2018 0:0:0,2,0.08,5,2018
ETZONE,5/12/2018 0:0:0,1,0.08,5,2018
ETZONE,5/13/2018 0:0:0,3,0.13,5,2018
ETZONE,5/13/2018 0:0:0,2,0.16,5,2018
ETZONE,5/13/2018 0:0:0,1,0.14,5,2018
ETZONE,5/14/2018 0:0:0,1,0.16,5,2018
ETZONE,5/14/2018 0:0:0,2,0.19,5,2018
ETZONE,5/14/2018 0:0:0,3,0.17,5,2018
ETZONE,5/15/2018 0:0:0,1,0.14,5,2018
ETZONE,5/15/2018 0:0:0,2,0.18,5,2018
ETZONE,5/15/2018 0:0:0,3,0.16,5,2018
ETZONE,5/16/2018 0:0:0,2,0.21,5,2018
ETZONE,5/16/2018 0:0:0,3,0.19,5,2018
ETZONE,5/16/2018 0:0:0,1,0.18,5,2018
ETZONE,5/17/2018 0:0:0,3,0.18,5,2018
ETZONE,5/17/2018 0:0:0,1,0.16,5,2018
ETZONE,5/17/2018 0:0:0,2,0.2,5,2018
ETZONE,5/18/2018 0:0:0,3,0.1,5,2018
ETZONE,5/18/2018 0:0:0,2,0.13,5,2018
ETZONE,5/18/2018 0:0:0,1,0.13,5,2018
ETZONE,5/19/2018 0:0:0,2,0.07,5,2018
ETZONE,5/19/2018 0:0:0,1,0.06,5,2018
ETZONE,5/19/2018 0:0:0,3,0.05,5,2018
ETZONE,5/20/2018 0:0:0,3,0.03,5,2018
ETZONE,5/20/2018 0:0:0,2,0.04,5,2018
ETZONE,5/20/2018 0:0:0,1,0.05,5,2018
ETZONE,5/21/2018 0:0:0,3,0.03,5,2018
ETZONE,5/21/2018 0:0:0,1,0.08,5,2018
ETZONE,5/21/2018 0:0:0,2,0.06,5,2018
ETZONE,5/22/2018 0:0:0,2,0.07,5,2018
ETZONE,5/22/2018 0:0:0,3,0.05,5,2018
ETZONE,5/22/2018 0:0:0,1,0.07,5,2018
ETZONE,5/23/2018 0:0:0,2,0.1,5,2018
ETZONE,5/23/2018 0:0:0,1,0.06,5,2018
ETZONE,5/23/2018 0:0:0,3,0.08,5,2018
ETZONE,5/24/2018 0:0:0,1,0.06,5,2018
ETZONE,5/24/2018 0:0:0,3,0.03,5,2018
ETZONE,5/24/2018 0:0:0,2,0.05,5,2018
ETZONE,5/25/2018 0:0:0,1,0.17,5,2018
ETZONE,5/25/2018 0:0:0,3,0.14,5,2018
ETZONE,5/25/2018 0:0:0,2,0.19,5,2018
ETZONE,5/26/2018 0:0:0,1,0.14,5,2018
ETZONE,5/26/2018 0:0:0,2,0.16,5,2018
ETZONE,5/26/2018 0:0:0,3,0.11,5,2018
ETZONE,5/27/2018 0:0:0,1,0.13,5,2018
ETZONE,5/27/2018 0:0:0,3,0.16,5,2018
ETZONE,5/27/2018 0:0:0,2,0.18,5,2018
ETZONE,5/28/2018 0:0:0,3,0.18,5,2018
ETZONE,5/28/2018 0:0:0,1,0.16,5,2018
ETZONE,5/28/2018 0:0:0,2,0.19,5,2018
ETZONE,5/29/2018 0:0:0,2,0.14,5,2018
ETZONE,5/29/2018 0:0:0,1,0.07,5,2018
ETZONE,5/29/2018 0:0:0,3,0.13,5,2018
ETZONE,5/30/2018 0:0:0,1,0.06,5,2018
ETZONE,5/30/2018 0:0:0,3,0.06,5,2018
ETZONE,5/30/2018 0:0:0,2,0.09,5,2018
ETZONE,5/31/2018 0:0:0,3,0.07,5,2018
ETZONE,5/31/2018 0:0:0,2,0.13,5,2018
ETZONE,5/31/2018 0:0:0,1,0.14,5,2018
ETZONE,6/1/2018 0:0:0,3,0.19,6,2018
ETZONE,6/1/2018 0:0:0,1,0.18,6,2018
ETZONE,6/1/2018 0:0:0,2,0.21,6,2018
ETZONE,6/2/2018 0:0:0,3,0.22,6,2018
ETZONE,6/2/2018 0:0:0,2,0.23,6,2018
ETZONE,6/2/2018 0:0:0,1,0.2,6,2018
ETZONE,6/3/2018 0:0:0,3,0.22,6,2018
ETZONE,6/3/2018 0:0:0,1,0.2,6,2018
